event_id,event_name,event_date,driver_type,impact_cycle,predictability,industry,intensity_score,source_note
A_20250307_600588,涨停异动_用友网络_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250307_600590,放量上涨异动_泰豪科技_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C38电气机械和器材制造业,4,近一年交易数据规则抽取
A_20250307_600602,涨停异动_云赛智联_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250307_600714,涨停异动_金瑞矿业_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C26化学原料和化学制品制造业,5,近一年交易数据规则抽取
A_20250307_600728,涨停异动_佳都科技_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250307_600860,涨停异动_京城股份_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,4,近一年交易数据规则抽取
A_20250307_600961,涨停异动_株冶集团_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C32有色金属冶炼和压延加工业,5,近一年交易数据规则抽取
A_20250307_601020,涨停异动_华钰矿业_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,B09有色金属矿采选业,4,近一年交易数据规则抽取
A_20250307_601100,涨停异动_恒立液压_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,4,近一年交易数据规则抽取
A_20250307_601956,涨停异动_东贝集团_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,4,近一年交易数据规则抽取
A_20250307_603039,涨停异动_泛微网络_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250307_603048,涨停异动_浙江黎明_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,5,近一年交易数据规则抽取
A_20250307_603119,放量上涨异动_浙江荣泰_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C30非金属矿物制品业,3,近一年交易数据规则抽取
A_20250307_603158,涨停异动_腾龙股份_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,4,近一年交易数据规则抽取
A_20250307_603200,跌停异动_上海洗霸_2025-03-07,2025-03-07,公司/市场异动事件,脉冲型事件,突发型事件,N77生态保护和环境治理业,5,近一年交易数据规则抽取
A_20250310_600107,涨停异动_ST尔雅_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C18纺织服装、服饰业,4,近一年交易数据规则抽取
A_20250310_600172,涨停异动_黄河旋风_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C30非金属矿物制品业,4,近一年交易数据规则抽取
A_20250310_600184,涨停异动_光电股份_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,4,近一年交易数据规则抽取
A_20250310_600345,涨停异动_长江通信_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C39计算机、通信和其他电子设备制造业,5,近一年交易数据规则抽取
A_20250310_600403,涨停异动_大有能源_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,B06煤炭开采和洗选业,4,近一年交易数据规则抽取
A_20250310_600423,涨停异动_柳化股份_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C26化学原料和化学制品制造业,4,近一年交易数据规则抽取
A_20250310_600539,涨停异动_狮头股份_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,F52零售业,4,近一年交易数据规则抽取
A_20250310_600560,涨停异动_金自天正_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,4,近一年交易数据规则抽取
A_20250310_600588,跌停异动_用友网络_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250310_600589,涨停异动_大位科技_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250310_600610,涨停异动_中毅达_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C26化学原料和化学制品制造业,4,近一年交易数据规则抽取
A_20250310_600619,涨停异动_海立股份_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,5,近一年交易数据规则抽取
A_20250310_600641,涨停异动_先导基电_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,K70房地产业,4,近一年交易数据规则抽取
A_20250310_600712,涨停异动_南宁百货_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,F52零售业,4,近一年交易数据规则抽取
A_20250310_600728,跌停异动_佳都科技_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250310_600802,涨停异动_福建水泥_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C30非金属矿物制品业,4,近一年交易数据规则抽取
A_20250310_600825,涨停异动_新华传媒_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,R86新闻和出版业,4,近一年交易数据规则抽取
A_20250310_600829,涨停异动_人民同泰_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,F51批发业,4,近一年交易数据规则抽取
A_20250310_600860,涨停异动_京城股份_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,4,近一年交易数据规则抽取
A_20250310_600960,涨停异动_渤海汽车_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,4,近一年交易数据规则抽取
A_20250310_601177,跌停异动_杭齿前进_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,5,近一年交易数据规则抽取
A_20250310_603039,跌停异动_泛微网络_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250310_603108,涨停异动_润达医疗_2025-03-10,2025-03-10,公司/市场异动事件,脉冲型事件,突发型事件,F51批发业,4,近一年交易数据规则抽取
A_20250311_600126,放量上涨异动_杭钢股份_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,C31黑色金属冶炼和压延加工业,3,近一年交易数据规则抽取
A_20250311_600327,放量上涨异动_大东方_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,Q84卫生,4,近一年交易数据规则抽取
A_20250311_600506,涨停异动_统一股份_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,C25石油、煤炭及其他燃料加工业,5,近一年交易数据规则抽取
A_20250311_600539,涨停异动_狮头股份_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,F52零售业,4,近一年交易数据规则抽取
A_20250311_600560,涨停异动_金自天正_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,4,近一年交易数据规则抽取
A_20250311_600589,涨停异动_大位科技_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250311_600610,涨停异动_中毅达_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,C26化学原料和化学制品制造业,4,近一年交易数据规则抽取
A_20250311_600718,涨停异动_东软集团_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250311_600735,涨停异动_ST新华锦_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,C41其他制造业,5,近一年交易数据规则抽取
A_20250311_600818,涨停异动_中路股份_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,C37铁路、船舶、航空航天和其他运输设备制造业,4,近一年交易数据规则抽取
A_20250311_600936,涨停异动_北投科技_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,I63电信、广播电视和卫星传输服务,4,近一年交易数据规则抽取
A_20250311_600967,涨停异动_内蒙一机_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,C37铁路、船舶、航空航天和其他运输设备制造业,4,近一年交易数据规则抽取
A_20250311_603206,涨停异动_嘉环科技_2025-03-11,2025-03-11,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250312_600107,涨停异动_ST尔雅_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C18纺织服装、服饰业,4,近一年交易数据规则抽取
A_20250312_600389,涨停异动_江山股份_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C26化学原料和化学制品制造业,4,近一年交易数据规则抽取
A_20250312_600399,涨停异动_抚顺特钢_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C31黑色金属冶炼和压延加工业,4,近一年交易数据规则抽取
A_20250312_600449,涨停异动_宁夏建材_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C30非金属矿物制品业,4,近一年交易数据规则抽取
A_20250312_600539,涨停异动_狮头股份_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,F52零售业,4,近一年交易数据规则抽取
A_20250312_600666,涨停异动_奥瑞德_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C30非金属矿物制品业,4,近一年交易数据规则抽取
A_20250312_600725,涨停异动_云维股份_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,F51批发业,4,近一年交易数据规则抽取
A_20250312_600728,放量上涨异动_佳都科技_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,3,近一年交易数据规则抽取
A_20250312_600797,放量上涨异动_浙大网新_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250312_600860,放量上涨异动_京城股份_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,4,近一年交易数据规则抽取
A_20250312_600936,涨停异动_北投科技_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,I63电信、广播电视和卫星传输服务,4,近一年交易数据规则抽取
A_20250312_600959,涨停异动_江苏有线_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,I63电信、广播电视和卫星传输服务,4,近一年交易数据规则抽取
A_20250312_600967,涨停异动_内蒙一机_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C37铁路、船舶、航空航天和其他运输设备制造业,4,近一年交易数据规则抽取
A_20250312_600979,涨停异动_广安爱众_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,D44电力、热力生产和供应业,5,近一年交易数据规则抽取
A_20250312_600996,涨停异动_贵广网络_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,I63电信、广播电视和卫星传输服务,4,近一年交易数据规则抽取
A_20250312_601126,涨停异动_四方股份_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C38电气机械和器材制造业,4,近一年交易数据规则抽取
A_20250312_601616,涨停异动_广电电气_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C38电气机械和器材制造业,5,近一年交易数据规则抽取
A_20250312_601929,涨停异动_吉视传媒_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,I63电信、广播电视和卫星传输服务,4,近一年交易数据规则抽取
A_20250312_603042,涨停异动_华脉科技_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C39计算机、通信和其他电子设备制造业,5,近一年交易数据规则抽取
A_20250312_603166,涨停异动_福达股份_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,4,近一年交易数据规则抽取
A_20250312_603172,放量上涨异动_万丰股份_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,C26化学原料和化学制品制造业,4,近一年交易数据规则抽取
A_20250312_603206,涨停异动_嘉环科技_2025-03-12,2025-03-12,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,4,近一年交易数据规则抽取
A_20250313_600218,放量上涨异动_全柴动力_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,3,近一年交易数据规则抽取
A_20250313_600403,涨停异动_大有能源_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,B06煤炭开采和洗选业,4,近一年交易数据规则抽取
A_20250313_600456,涨停异动_宝钛股份_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,C32有色金属冶炼和压延加工业,4,近一年交易数据规则抽取
A_20250313_600539,涨停异动_狮头股份_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,F52零售业,5,近一年交易数据规则抽取
A_20250313_600560,跌停异动_金自天正_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,C35专用设备制造业,5,近一年交易数据规则抽取
A_20250313_600592,跌停异动_龙溪股份_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,C34通用设备制造业,5,近一年交易数据规则抽取
A_20250313_600696,涨停异动_*ST岩石_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,C15酒、饮料和精制茶制造业,4,近一年交易数据规则抽取
A_20250313_600698,涨停异动_湖南天雁_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,5,近一年交易数据规则抽取
A_20250313_600967,放量上涨异动_内蒙一机_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,C37铁路、船舶、航空航天和其他运输设备制造业,3,近一年交易数据规则抽取
A_20250313_600982,涨停异动_宁波能源_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,D44电力、热力生产和供应业,4,近一年交易数据规则抽取
A_20250313_603102,涨停异动_百合股份_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,C14食品制造业,4,近一年交易数据规则抽取
A_20250313_603166,跌停异动_福达股份_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,C36汽车制造业,5,近一年交易数据规则抽取
A_20250313_603189,涨停异动_网达软件_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250313_603206,涨停异动_嘉环科技_2025-03-13,2025-03-13,公司/市场异动事件,脉冲型事件,突发型事件,I65软件和信息技术服务业,5,近一年交易数据规则抽取
A_20250314_600126,跌停异动_杭钢股份_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C31黑色金属冶炼和压延加工业,4,近一年交易数据规则抽取
A_20250314_600228,涨停异动_*ST返利_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,I64互联网和相关服务,5,近一年交易数据规则抽取
A_20250314_600300,涨停异动_维维股份_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C15酒、饮料和精制茶制造业,4,近一年交易数据规则抽取
A_20250314_600301,涨停异动_华锡有色_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,B09有色金属矿采选业,5,近一年交易数据规则抽取
A_20250314_600318,涨停异动_新力金融_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,J66货币金融服务,5,近一年交易数据规则抽取
A_20250314_600382,涨停异动_广东明珠_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,B08黑色金属矿采选业,4,近一年交易数据规则抽取
A_20250314_600403,涨停异动_大有能源_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,B06煤炭开采和洗选业,4,近一年交易数据规则抽取
A_20250314_600419,涨停异动_天润乳业_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C14食品制造业,4,近一年交易数据规则抽取
A_20250314_600429,涨停异动_三元股份_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C14食品制造业,4,近一年交易数据规则抽取
A_20250314_600456,涨停异动_宝钛股份_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C32有色金属冶炼和压延加工业,5,近一年交易数据规则抽取
A_20250314_600490,涨停异动_鹏欣资源_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C32有色金属冶炼和压延加工业,5,近一年交易数据规则抽取
A_20250314_600539,跌停异动_狮头股份_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,F52零售业,5,近一年交易数据规则抽取
A_20250314_600590,涨停异动_泰豪科技_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C38电气机械和器材制造业,5,近一年交易数据规则抽取
A_20250314_600597,涨停异动_光明乳业_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C14食品制造业,4,近一年交易数据规则抽取
A_20250314_600601,涨停异动_方正科技_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C39计算机、通信和其他电子设备制造业,4,近一年交易数据规则抽取
A_20250314_600702,涨停异动_舍得酒业_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C15酒、饮料和精制茶制造业,4,近一年交易数据规则抽取
A_20250314_600729,放量上涨异动_重庆百货_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,F52零售业,3,近一年交易数据规则抽取
A_20250314_600738,涨停异动_丽尚国潮_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,F52零售业,5,近一年交易数据规则抽取
A_20250314_600764,涨停异动_中国海防_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C39计算机、通信和其他电子设备制造业,4,近一年交易数据规则抽取
A_20250314_600774,涨停异动_汉商集团_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C27医药制造业,4,近一年交易数据规则抽取
A_20250314_600779,涨停异动_水井坊_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C15酒、饮料和精制茶制造业,4,近一年交易数据规则抽取
A_20250314_600844,涨停异动_金煤科技_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C26化学原料和化学制品制造业,4,近一年交易数据规则抽取
A_20250314_600967,跌停异动_内蒙一机_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,C37铁路、船舶、航空航天和其他运输设备制造业,5,近一年交易数据规则抽取
A_20250314_601059,涨停异动_信达证券_2025-03-14,2025-03-14,公司/市场异动事件,脉冲型事件,突发型事件,J67资本市场服务,5,近一年交易数据规则抽取
